team_slug,team_name,stadium_name,city,postcode,latitude,longitude,is_synthetic_pitch,notes
airdrieonians,Airdrieonians,Excelsior Stadium,Airdrie,ML6 8QZ,55.8664,-3.9558,1,Primary ground (3G synthetic)
albion-rovers,Albion Rovers,The Reigart Stadium (Cliftonhill),Coatbridge,ML5 4LQ,55.8611,-4.0167,0,Primary ground (natural grass)
alloa-athletic,Alloa Athletic,Recreation Park (Indodrill Stadium),Alloa,FK10 1RY,56.1158,-3.7842,1,Primary ground (3G synthetic)
annan-athletic,Annan Athletic,Galabank,Annan,DG12 5DQ,54.9928,-3.2567,1,Primary ground near Solway Firth (3G synthetic)
arbroath,Arbroath,Gayfield Park,Arbroath,DD11 1NJ,56.5528,-2.5900,0,Coastal North Sea ground (natural grass)
bonnyrigg-rose,Bonnyrigg Rose,New Dundas Park,Bonnyrigg,EH19 3AE,55.8772,-3.1206,0,Midlothian ground (natural grass)
brechin-city,Brechin City,Glebe Park,Brechin,DD9 6BJ,56.7339,-2.6561,0,Angus ground (natural grass)
clyde-fc,Clyde FC,New Douglas Park,Hamilton,ML3 0FT,55.7822,-4.0578,1,Groundshare at Hamilton (3G synthetic)
cove-rangers,Cove Rangers,Balmoral Stadium,Aberdeen,AB12 3JG,57.1067,-2.0911,1,Aberdeen south coast ground (3G synthetic)
cowdenbeath,Cowdenbeath,Central Park,Cowdenbeath,KY4 9QQ,56.1103,-3.3486,0,Fife ground (natural grass)
dumbarton,Dumbarton,Dumbarton Stadium (The Rock),Dumbarton,G82 1JJ,55.9381,-4.5619,0,River Clyde ground (natural grass)
dunfermline-athletic,Dunfermline Athletic,East End Park,Dunfermline,KY12 7RB,56.0750,-3.4419,0,Fife ground (natural grass)
east-fife,East Fife,Bayview Stadium,Methil,KY8 3RW,56.1883,-3.0039,1,Firth of Forth coastal ground (3G synthetic installed 2017)
east-kilbride,East Kilbride,K-Park Training Academy,East Kilbride,G75 0QZ,55.7481,-4.1539,1,South Lanarkshire ground (3G synthetic)
edinburgh-city-fc,Edinburgh City FC,Meadowbank Stadium,Edinburgh,EH7 6AE,55.9575,-3.1583,1,Edinburgh ground (4G synthetic)
elgin-city,Elgin City,Borough Briggs,Elgin,IV30 1AP,57.6533,-3.3228,0,Far North Highlands ground (Moray, natural grass)
falkirk-fc,Falkirk FC,Falkirk Stadium,Falkirk,FK2 9DX,56.0053,-3.7547,1,Central Belt ground (3G synthetic)
forfar-athletic,Forfar Athletic,Station Park,Forfar,DD8 3HB,56.6508,-2.8847,1,Angus ground (3G synthetic)
hamilton-academical,Hamilton Academical,New Douglas Park,Hamilton,ML3 0FT,55.7822,-4.0578,1,Lanarkshire ground (3G synthetic)
inverness-caledonian-thistle,Inverness Caledonian Thistle,Caledonian Stadium,Inverness,IV1 1FF,57.4950,-4.2197,0,Highlands capital ground (Moray Firth, natural grass)
kelty-hearts-fc,Kelty Hearts,New Central Park,Kelty,KY4 0AG,56.1344,-3.3853,1,Fife ground (3G synthetic)
montrose,Montrose,Links Park,Montrose,DD10 8LF,56.7111,-2.4633,1,Angus coastal ground (3G synthetic)
partick-thistle,Partick Thistle,Firhill Stadium,Glasgow,G20 7AL,55.8814,-4.2714,0,Glasgow Maryhill ground (natural grass)
peterhead,Peterhead,Balmoor Stadium,Peterhead,AB42 1EQ,57.5147,-1.7906,0,Far North-East Buchan ground (natural grass)
queen-of-the-south,Queen of the South,Palmerston Park,Dumfries,DG2 9BA,55.0711,-3.6269,1,Dumfries and Galloway ground (3G synthetic)
queens-park-fc,Queen's Park FC,Ochilview Park,Stenhousemuir,FK5 4QL,56.0275,-3.8186,1,Groundshare period (3G synthetic)
ross-county,Ross County,Global Energy Stadium (Victoria Park),Dingwall,IV15 9QZ,57.5958,-4.4186,0,Highlands Dingwall ground (natural grass)
stenhousemuir,Stenhousemuir,Ochilview Park,Stenhousemuir,FK5 4QL,56.0275,-3.8186,1,Falkirk area ground (3G synthetic)
stirling-albion,Stirling Albion,Forthbank Stadium,Stirling,FK7 7UJ,56.1133,-3.9167,0,Stirling Forth valley ground (natural grass)
stranraer,Stranraer,Stair Park,Stranraer,DG9 8BS,54.9039,-5.0169,0,Far South-West Loch Ryan / Galloway ground (natural grass)
the-spartans-fc,The Spartans FC,Ainslie Park,Edinburgh,EH5 2HF,55.9739,-3.2328,1,North Edinburgh ground (3G synthetic)
